,date,team_away,team_home,R_away,R_home
0,2022-03-25,読売ジャイアンツ,中日ドラゴンズ,4,2
1,2022-03-25,広島東洋カープ,横浜DeNAベイスターズ,11,3
2,2022-03-25,東京ヤクルトスワローズ,阪神タイガース,10,8
3,2022-03-25,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,4,0
4,2022-03-25,オリックス・バファローズ,埼玉西武ライオンズ,6,0
5,2022-03-25,福岡ソフトバンクホークス,北海道日本ハムファイターズ,4,1
6,2022-03-26,読売ジャイアンツ,中日ドラゴンズ,7,5
7,2022-03-26,広島東洋カープ,横浜DeNAベイスターズ,10,5
8,2022-03-26,東京ヤクルトスワローズ,阪神タイガース,6,0
9,2022-03-26,埼玉西武ライオンズ,オリックス・バファローズ,5,0
10,2022-03-26,福岡ソフトバンクホークス,北海道日本ハムファイターズ,6,3
11,2022-03-27,中日ドラゴンズ,読売ジャイアンツ,7,5
12,2022-03-27,広島東洋カープ,横浜DeNAベイスターズ,7,6
13,2022-03-27,東京ヤクルトスワローズ,阪神タイガース,4,0
14,2022-03-27,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,6,5
15,2022-03-27,埼玉西武ライオンズ,オリックス・バファローズ,7,6
16,2022-03-27,福岡ソフトバンクホークス,北海道日本ハムファイターズ,6,4
17,2022-03-29,読売ジャイアンツ,東京ヤクルトスワローズ,5,3
18,2022-03-29,横浜DeNAベイスターズ,中日ドラゴンズ,4,0
19,2022-03-29,広島東洋カープ,阪神タイガース,3,2
20,2022-03-29,埼玉西武ライオンズ,北海道日本ハムファイターズ,4,0
21,2022-03-29,福岡ソフトバンクホークス,千葉ロッテマリーンズ,2,1
22,2022-03-29,東北楽天ゴールデンイーグルス,オリックス・バファローズ,2,1
23,2022-03-30,読売ジャイアンツ,東京ヤクルトスワローズ,3,1
24,2022-03-30,横浜DeNAベイスターズ,中日ドラゴンズ,7,6
25,2022-03-30,広島東洋カープ,阪神タイガース,8,3
26,2022-03-30,埼玉西武ライオンズ,北海道日本ハムファイターズ,5,3
27,2022-03-30,福岡ソフトバンクホークス,千葉ロッテマリーンズ,4,3
28,2022-03-30,東北楽天ゴールデンイーグルス,オリックス・バファローズ,6,1
29,2022-03-31,読売ジャイアンツ,東京ヤクルトスワローズ,6,3
30,2022-03-31,横浜DeNAベイスターズ,中日ドラゴンズ,1,0
31,2022-03-31,広島東洋カープ,阪神タイガース,3,2
32,2022-03-31,北海道日本ハムファイターズ,埼玉西武ライオンズ,6,2
33,2022-03-31,福岡ソフトバンクホークス,千葉ロッテマリーンズ,3,1
34,2022-03-31,東北楽天ゴールデンイーグルス,オリックス・バファローズ,1,0
35,2022-04-01,読売ジャイアンツ,阪神タイガース,6,5
36,2022-04-01,横浜DeNAベイスターズ,東京ヤクルトスワローズ,6,1
37,2022-04-01,中日ドラゴンズ,広島東洋カープ,3,2
38,2022-04-01,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,1,0
39,2022-04-01,千葉ロッテマリーンズ,埼玉西武ライオンズ,2,1
40,2022-04-01,オリックス・バファローズ,北海道日本ハムファイターズ,2,0
41,2022-04-02,読売ジャイアンツ,阪神タイガース,5,4
42,2022-04-02,東京ヤクルトスワローズ,横浜DeNAベイスターズ,3,2
43,2022-04-02,中日ドラゴンズ,広島東洋カープ,4,3
44,2022-04-02,千葉ロッテマリーンズ,埼玉西武ライオンズ,8,1
45,2022-04-02,オリックス・バファローズ,北海道日本ハムファイターズ,7,0
46,2022-04-03,読売ジャイアンツ,阪神タイガース,9,5
47,2022-04-03,中日ドラゴンズ,広島東洋カープ,1,0
48,2022-04-03,千葉ロッテマリーンズ,埼玉西武ライオンズ,4,2
49,2022-04-03,オリックス・バファローズ,北海道日本ハムファイターズ,4,2
50,2022-04-05,中日ドラゴンズ,東京ヤクルトスワローズ,7,6
51,2022-04-05,阪神タイガース,横浜DeNAベイスターズ,4,0
52,2022-04-05,広島東洋カープ,読売ジャイアンツ,3,1
53,2022-04-05,千葉ロッテマリーンズ,北海道日本ハムファイターズ,2,0
54,2022-04-05,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,3
55,2022-04-05,福岡ソフトバンクホークス,オリックス・バファローズ,6,3
56,2022-04-06,東京ヤクルトスワローズ,中日ドラゴンズ,2,1
57,2022-04-06,横浜DeNAベイスターズ,阪神タイガース,6,1
58,2022-04-06,読売ジャイアンツ,広島東洋カープ,2,1
59,2022-04-06,北海道日本ハムファイターズ,千葉ロッテマリーンズ,3,2
60,2022-04-06,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,2
61,2022-04-06,オリックス・バファローズ,福岡ソフトバンクホークス,3,1
62,2022-04-07,中日ドラゴンズ,東京ヤクルトスワローズ,11,3
63,2022-04-07,広島東洋カープ,読売ジャイアンツ,9,2
64,2022-04-07,福岡ソフトバンクホークス,オリックス・バファローズ,7,3
65,2022-04-08,東京ヤクルトスワローズ,読売ジャイアンツ,7,2
66,2022-04-08,阪神タイガース,広島東洋カープ,3,3
67,2022-04-08,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,3,0
68,2022-04-08,福岡ソフトバンクホークス,埼玉西武ライオンズ,8,1
69,2022-04-08,千葉ロッテマリーンズ,オリックス・バファローズ,5,0
70,2022-04-09,読売ジャイアンツ,東京ヤクルトスワローズ,3,2
71,2022-04-09,広島東洋カープ,阪神タイガース,9,1
72,2022-04-09,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,8,5
73,2022-04-09,埼玉西武ライオンズ,福岡ソフトバンクホークス,0,0
74,2022-04-09,オリックス・バファローズ,千葉ロッテマリーンズ,4,2
75,2022-04-10,東京ヤクルトスワローズ,読売ジャイアンツ,2,1
76,2022-04-10,広島東洋カープ,阪神タイガース,1,0
77,2022-04-10,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,3,2
78,2022-04-10,埼玉西武ライオンズ,福岡ソフトバンクホークス,6,0
79,2022-04-10,千葉ロッテマリーンズ,オリックス・バファローズ,6,0
80,2022-04-12,読売ジャイアンツ,横浜DeNAベイスターズ,10,4
81,2022-04-12,東京ヤクルトスワローズ,広島東洋カープ,3,1
82,2022-04-12,中日ドラゴンズ,阪神タイガース,2,1
83,2022-04-12,北海道日本ハムファイターズ,埼玉西武ライオンズ,3,0
84,2022-04-12,千葉ロッテマリーンズ,福岡ソフトバンクホークス,3,0
85,2022-04-13,読売ジャイアンツ,横浜DeNAベイスターズ,4,3
86,2022-04-13,広島東洋カープ,東京ヤクルトスワローズ,5,1
87,2022-04-13,中日ドラゴンズ,阪神タイガース,1,0
88,2022-04-13,埼玉西武ライオンズ,北海道日本ハムファイターズ,4,3
89,2022-04-14,中日ドラゴンズ,阪神タイガース,4,1
