,no,player,team,avg,game,pa,ab,r,h,2b,3b,hr,tb,rbi,sb,cs,sac,sf,bb,ibb,db,so,gidp,slg,obp
2,1,マートン,(神),.338,142,591,532,58,180,32,0,14,254,84,2,5,0,6,46,4,7,64,19,.477,.394
3,2,菊池　涼介,(広),.325,144,654,579,88,188,39,2,11,264,58,23,10,43,5,24,0,3,79,9,.456,.352
4,3,山田　哲人,(ヤ),.324,143,685,596,106,193,39,1,29,321,89,15,5,2,5,74,2,8,95,10,.539,.403
5,4,大島　洋平,(中),.318,141,642,585,92,186,18,2,2,214,28,28,12,6,2,43,1,6,56,3,.366,.369
6,5,ルナ,(中),.317,127,527,467,80,148,25,5,17,234,73,8,2,0,4,51,3,5,98,11,.501,.387
7,6,雄平,(ヤ),.316,141,597,547,97,173,28,3,23,276,90,10,2,1,0,48,0,1,103,11,.505,.372
8,7,鳥谷　敬,(神),.313,144,644,550,96,172,28,2,8,228,73,10,6,1,4,87,3,2,80,14,.415,.406
9,8,畠山　和洋,(ヤ),.310,113,464,422,52,131,19,1,17,203,79,2,0,1,3,36,1,2,54,17,.481,.365
10,9,丸　佳浩,(広),.310,144,644,536,106,166,30,5,19,263,67,26,11,0,4,100,3,4,95,12,.491,.419
11,10,川端　慎吾,(ヤ),.305,142,637,580,86,177,33,2,10,244,69,2,2,8,3,43,1,3,62,10,.421,.355
12,11,バレンティン,(ヤ),.301,112,446,366,61,110,12,0,31,215,69,2,0,0,3,75,5,2,95,10,.587,.419
13,12,筒香　嘉智,(デ),.300,114,461,410,58,123,24,2,22,217,77,2,1,0,2,47,6,2,100,7,.529,.373
14,13,長野　久義,(巨),.297,130,523,472,67,140,29,1,13,210,62,8,4,4,2,42,0,3,75,8,.445,.356
15,14,森野　将彦,(中),.288,141,588,507,64,146,34,0,13,219,86,3,0,5,6,69,2,1,66,20,.432,.370
16,15,ゴメス,(神),.283,143,616,537,81,152,30,2,26,264,109,1,0,0,4,67,0,8,166,17,.492,.369
17,16,坂本　勇人,(巨),.279,144,616,545,82,152,29,0,16,229,61,23,5,9,5,55,1,2,88,3,.420,.344
18,17,平田　良介,(中),.277,119,488,429,55,119,17,1,11,171,65,7,2,0,4,54,0,1,65,13,.399,.357
19,18,上本　博紀,(神),.276,131,600,515,90,142,28,5,7,201,38,20,10,7,2,70,0,6,97,7,.390,.368
20,19,荒木　雅博,(中),.268,109,471,395,46,106,17,2,1,130,21,17,1,33,1,39,1,3,63,7,.329,.338
21,20,大和,(神),.264,121,481,398,54,105,17,1,1,127,24,11,7,50,1,28,1,4,52,7,.319,.318
22,21,梶谷　隆幸,(デ),.263,142,609,525,76,138,26,9,16,230,72,39,8,3,4,70,5,7,135,12,.438,.355
23,22,エルドレッド,(広),.260,118,505,454,71,118,18,0,37,247,104,2,0,0,3,41,3,7,169,8,.544,.329
24,23,村田　修一,(巨),.256,143,575,519,49,133,17,0,21,213,68,2,2,0,4,39,1,13,83,22,.410,.322
25,24,バルディリス,(デ),.255,139,510,451,44,115,29,1,17,197,52,0,1,0,5,43,2,11,66,20,.437,.331
26,25,片岡　治大,(巨),.252,126,484,429,54,108,16,2,6,146,32,24,7,23,0,29,1,3,51,14,.340,.304
27,26,石川　雄洋,(デ),.248,138,539,483,66,120,16,5,7,167,36,9,3,16,0,32,0,8,98,9,.346,.306
28,27,阿部　慎之助,(巨),.248,131,526,459,49,114,24,0,19,195,57,1,3,0,2,58,5,7,77,16,.425,.340
2,1,糸井　嘉男,(オ),.331,140,590,502,73,166,36,2,19,263,81,31,9,0,4,70,7,14,73,7,.524,.424
3,2,銀次,(楽),.327,117,509,459,59,150,26,0,4,188,70,1,4,1,4,43,0,2,45,10,.410,.384
4,3,柳田　悠岐,(ソ),.317,144,615,524,91,166,18,4,15,237,70,33,6,0,3,72,5,16,131,8,.452,.413
5,4,中村　晃,(ソ),.308,143,638,571,75,176,22,4,4,218,61,10,2,3,2,59,2,3,61,4,.382,.375
6,5,内川　聖一,(ソ),.307,122,534,488,50,150,26,1,18,232,74,0,0,0,7,34,6,5,48,5,.475,.354
7,6,李　大浩,(ソ),.300,144,625,566,60,170,30,0,19,257,68,0,3,0,3,46,0,10,97,18,.454,.362
8,7,長谷川　勇也,(ソ),.300,135,541,473,58,142,30,3,6,196,55,7,7,0,7,54,2,7,95,8,.414,.375
