team_id,start_date,end_date,team_name,city,league,division,stadium_name
2,1950-01-01,2023-12-31,読売ジャイアンツ,,セントラル・リーグ,,
3,1950-01-01,1950-12-31,中日ドラゴンズ,,セントラル・リーグ,,
3,1951-01-01,1953-12-31,名古屋ドラゴンズ,,セントラル・リーグ,,
3,1954-01-01,2023-12-31,中日ドラゴンズ,,セントラル・リーグ,,
5,1950-01-01,1967-12-31,広島カープ,,セントラル・リーグ,,
5,1968-01-01,2023-12-31,広島東洋カープ,,セントラル・リーグ,,
1,1950-01-01,1964-12-31,国鉄スワローズ,,セントラル・リーグ,,
1,1965-01-01,1965-12-31,サンケイスワローズ,,セントラル・リーグ,,
1,1966-01-01,1968-12-31,サンケイアトムズ,,セントラル・リーグ,,
1,1969-01-01,1969-12-31,アトムズ,,セントラル・リーグ,,
1,1970-01-01,1973-12-31,ヤクルトアトムズ,,セントラル・リーグ,,
1,1974-01-01,2005-12-31,ヤクルトスワローズ,,セントラル・リーグ,,
1,2006-01-01,2023-12-31,東京ヤクルトスワローズ,,セントラル・リーグ,,
6,1950-01-01,1952-12-31,大洋ホエールズ,,セントラル・リーグ,,
6,1953-01-01,1954-12-31,大洋松竹ロビンス,,セントラル・リーグ,,
6,1955-01-01,1977-12-31,大洋ホエールズ,,セントラル・リーグ,,
6,1978-01-01,1992-12-31,横浜大洋ホエールズ,,セントラル・リーグ,,
6,1993-01-01,2011-12-31,横浜ベイスターズ,,セントラル・リーグ,,
6,2012-01-01,2023-12-31,横浜DeNAベイスターズ,,セントラル・リーグ,,
4,1950-01-01,1960-12-31,大阪タイガース,,セントラル・リーグ,,
4,1961-01-01,2023-12-31,阪神タイガース,,セントラル・リーグ,,
7,1950-01-01,1952-12-31,松竹ロビンス,,セントラル・リーグ,,
8,1950-01-01,1950-12-31,西日本パイレーツ,,セントラル・リーグ,,
