team_id,start_date,end_date,team_name,city,league,division,stadium_name
4,1950-01-01,1957-12-31,毎日オリオンズ,,パシフィック・リーグ,,
4,1958-01-01,1963-12-31,毎日大映オリオンズ,,パシフィック・リーグ,,
4,1964-01-01,1968-12-31,東京オリオンズ,,パシフィック・リーグ,,
4,1969-01-01,1991-12-31,ロッテ・オリオンズ,,パシフィック・リーグ,,
4,1992-01-01,2023-12-31,千葉ロッテマリーンズ,,パシフィック・リーグ,,
2,1950-01-01,1988-12-31,南海ホークス,,パシフィック・リーグ,,
2,1989-01-01,2004-12-31,福岡ダイエーホークス,,パシフィック・リーグ,,
2,2005-01-01,2023-12-31,福岡ソフトバンクホークス,,パシフィック・リーグ,,
9,1950-01-01,1956-12-31,大映スターズ,,パシフィック・リーグ,,
9,1957-01-01,1957-12-31,大映ユニオンズ,,パシフィック・リーグ,,
1,1950-01-01,1988-12-31,阪急ブレーブス,,パシフィック・リーグ,,
1,1989-01-01,1990-12-31,オリックス・ブレーブス,,パシフィック・リーグ,,
1,1991-01-01,2004-12-31,オリックス・ブルーウェーブ,,パシフィック・リーグ,,
1,2005-01-01,2023-12-31,オリックス・バファローズ,,パシフィック・リーグ,,
3,1950-01-01,1950-12-31,西鉄クリッパース,,パシフィック・リーグ,,
3,1951-01-01,1972-12-31,西鉄ライオンズ,,パシフィック・リーグ,,
3,1973-01-01,1976-12-31,太平洋クラブ・ライオンズ,,パシフィック・リーグ,,
3,1977-01-01,1978-12-31,クラウンライター・ライオンズ,,パシフィック・リーグ,,
3,1979-01-01,2007-12-31,西武ライオンズ,,パシフィック・リーグ,,
3,2008-01-01,2023-12-31,埼玉西武ライオンズ,,パシフィック・リーグ,,
5,1950-01-01,1953-12-31,東急フライヤーズ,,パシフィック・リーグ,,
5,1954-01-01,1972-12-31,東映フライヤーズ,,パシフィック・リーグ,,
5,1973-01-01,1973-12-31,日拓ホーム・フライヤーズ,,パシフィック・リーグ,,
5,1974-01-01,2003-12-31,日本ハム・ファイターズ,,パシフィック・リーグ,,
5,2004-01-01,2023-12-31,北海道日本ハムファイターズ,,パシフィック・リーグ,,
7,1950-01-01,1958-12-31,近鉄パールス,,パシフィック・リーグ,,
7,1959-01-01,1961-12-31,近鉄バファロー,,パシフィック・リーグ,,
7,1962-01-01,1998-12-31,近鉄バファローズ,,パシフィック・リーグ,,
7,1999-01-01,2004-12-31,大阪近鉄バファローズ,,パシフィック・リーグ,,
8,1954-01-01,1954-12-31,高橋ユニオンズ,,パシフィック・リーグ,,
8,1955-01-01,1955-12-31,トンボユニオンズ,,パシフィック・リーグ,,
8,1956-01-01,1956-12-31,高橋ユニオンズ,,パシフィック・リーグ,,
6,2005-01-01,2023-12-31,東北楽天ゴールデンイーグルス,,パシフィック・リーグ,,
