,チーム,勝率,ptg,year,dif
0,中日,0.56,0.5108551741396318,2011,0.04914482586036828
1,ヤクルト,0.5429999999999999,0.47976537667529573,2011,0.0632346233247042
2,巨人,0.534,0.5605867637025245,2011,0.02658676370252444
3,阪神,0.493,0.5420873456797325,2011,0.0490873456797325
4,広島,0.441,0.4392631576548137,2011,0.0017368423451862847
5,横浜,0.353,0.3417950020821474,2011,0.011204997917852566
6,ソフトバンク,0.657,0.7105926460121071,2011,0.053592646012107115
7,日本ハム,0.526,0.5707533263890254,2011,0.044753326389025405
8,西武,0.504,0.5447408211854141,2011,0.04074082118541411
9,オリックス,0.504,0.4599040273103493,2011,0.04409597268965071
10,楽天,0.482,0.4643312101910828,2011,0.017668789808917174
11,ロッテ,0.406,0.39647088565644034,2011,0.009529114343559686
12,巨人,0.667,0.6947026837396948,2012,0.027702683739694756
13,中日,0.586,0.5217288615965989,2012,0.06427113840340104
14,ヤクルト,0.511,0.48519574354487655,2012,0.025804256455123464
15,広島,0.462,0.46938176575834417,2012,0.00738176575834415
16,阪神,0.423,0.46823001122614444,2012,0.04523001122614445
17,横浜,0.35100000000000003,0.35325365732705183,2012,0.0022536573270517946
18,日本ハム,0.556,0.5622568093385214,2012,0.006256809338521352
19,西武,0.5329999999999999,0.4980657712596805,2012,0.03493422874031943
20,ソフトバンク,0.508,0.526088915783646,2012,0.01808891578364602
21,楽天,0.5,0.5250364788640373,2012,0.02503647886403726
22,ロッテ,0.481,0.4970030239219169,2012,0.016003023921916937
23,オリックス,0.425,0.4158928018920305,2012,0.009107198107969505
24,巨人,0.613,0.5800238578424113,2013,0.032976142157588706
25,阪神,0.521,0.542123225118005,2013,0.021123225118005018
26,広島,0.489,0.5027002503382402,2013,0.013700250338240183
27,中日,0.454,0.4353831845999147,2013,0.018616815400085307
28,横浜,0.448,0.45752372345232717,2013,0.00952372345232716
29,ヤクルト,0.407,0.4171765534369271,2013,0.010176553436927138
30,楽天,0.5820000000000001,0.5776378866149252,2013,0.004362113385074862
31,西武,0.529,0.5070667848625973,2013,0.021933215137402762
32,ロッテ,0.521,0.48962049563031246,2013,0.03137950436968756
33,ソフトバンク,0.514,0.5796839152352005,2013,0.06568391523520045
34,オリックス,0.475,0.4846485331761846,2013,0.009648533176184637
35,日本ハム,0.451,0.4387204371880635,2013,0.01227956281193654
36,巨人,0.573,0.5382713056128016,2014,0.03472869438719839
37,阪神,0.524,0.48763585608530613,2014,0.03636414391469389
38,広島,0.521,0.5309472696996475,2014,0.009947269699647432
39,中日,0.479,0.4827637444279346,2014,0.0037637444279346455
40,横浜,0.472,0.453123595505618,2014,0.018876404494381993
41,ヤクルト,0.426,0.463919923084784,2014,0.037919923084784035
42,ソフトバンク,0.565,0.5748635192758057,2014,0.009863519275805754
43,オリックス,0.563,0.608941579774318,2014,0.04594157977431801
44,日本ハム,0.518,0.5206452377074666,2014,0.002645237707466608
45,ロッテ,0.465,0.42858172743657286,2014,0.03641827256342717
46,西武,0.45,0.4778643491579112,2014,0.027864349157911195
47,楽天,0.444,0.45240664828426774,2014,0.008406648284267737
48,ヤクルト,0.539,0.5511475409836065,2015,0.012147540983606486
49,巨人,0.528,0.5492362817833107,2015,0.021236281783310718
50,阪神,0.496,0.4168393657525664,2015,0.07916063424743358
51,広島,0.493,0.532618282880394,2015,0.03961828288039404
52,中日,0.446,0.46830212770410995,2015,0.022302127704109942
53,横浜,0.4370000000000001,0.41916097637038147,2015,0.017839023629618644
54,ソフトバンク,0.647,0.6374078407897943,2015,0.00959215921020573
55,日本ハム,0.56,0.5284051378484631,2015,0.03159486215153695
56,ロッテ,0.514,0.4982206462030426,2015,0.015779353796957385
57,西武,0.5,0.5480612258943688,2015,0.048061225894368786
58,オリックス,0.433,0.47284105570817936,2015,0.03984105570817936
59,楽天,0.407,0.3640079264679163,2015,0.042992073532083674
60,広島,0.631,0.6544676267547019,2016,0.02346762675470193
61,巨人,0.507,0.47741266549688943,2016,0.029587334503110574
62,横浜,0.493,0.4862095201864092,2016,0.006790479813590766
63,阪神,0.457,0.46203207784145867,2016,0.005032077841458649
64,ヤクルト,0.451,0.4228254513033391,2016,0.028174548696660917
65,中日,0.414,0.4322798960453306,2016,0.018279896045330646
66,日本ハム,0.621,0.6372740124740125,2016,0.0162740124740125
67,ソフトバンク,0.606,0.6387950441586248,2016,0.032795044158624775
68,ロッテ,0.514,0.5008583684662687,2016,0.013141631533731268
69,西武,0.457,0.5008084069090363,2016,0.04380840690903626
70,楽天,0.443,0.4089479473559114,2016,0.034052052644088615
71,オリックス,0.407,0.3817710425527348,2016,0.025228957447265166
72,広島,0.633,0.650064322881665,2017,0.01706432288166504
73,阪神,0.561,0.5544481824501962,2017,0.006551817549803829
74,横浜,0.529,0.4991631805023158,2017,0.02983681949768424
75,巨人,0.514,0.5307401276897612,2017,0.016740127689761186
76,中日,0.428,0.37928955474029985,2017,0.04871044525970014
77,ヤクルト,0.319,0.34412540106869616,2017,0.02512540106869615
78,ソフトバンク,0.657,0.6356755000913588,2017,0.02132449990864127
79,西武,0.564,0.6028871723439281,2017,0.038887172343928134
80,楽天,0.55,0.5510789698700019,2017,0.001078969870001889
